Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision
2026-02-22,28.7,19.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-02-23,29.3,20.5,9.4,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-02-24,30.6,19.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-02-25,26.1,12.8,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-02-26,28.0,11.0,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-02-27,29.4,17.7,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-02-28,28.6,16.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-01,30.2,17.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-02,30.9,18.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-03,26.7,18.0,1.4,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-04,29.8,15.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-05,28.9,18.9,0.1,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-06,24.5,19.7,3.7,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-07,28.7,19.2,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-08,25.5,16.8,0.7,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-09,27.0,19.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-10,29.0,15.4,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-11,29.6,15.0,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-12,29.7,15.1,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-13,31.8,17.0,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-14,27.5,18.5,0.3,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-15,34.1,16.4,0.0,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-16,32.1,21.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-17,33.1,18.7,3.5,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,2026-07-30T12:12:38+00:00
2026-03-18,27.1,15.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
2026-03-19,28.9,14.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:19-03:00
