Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision
2026-02-08,32.6,16.4,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-09,27.3,18.5,1.4,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-10,30.1,16.8,2.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-11,25.6,9.2,0.5,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-12,22.7,12.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-13,26.1,9.1,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-14,24.1,14.9,11.3,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-15,27.8,16.6,0.4,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-16,29.8,17.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-17,32.7,18.8,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-18,31.4,16.1,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-19,26.2,14.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-20,30.7,11.6,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-21,29.7,13.6,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-22,27.4,17.7,2.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-23,27.5,17.1,0.6,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-24,22.3,14.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-02-25,25.1,4.1,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-26,27.8,7.6,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-27,30.0,10.9,0.0,SIGA_INTA_BORDENAVE,Observado,Observado_estacion,2026-07-30T20:04:21+00:00
2026-02-28,29.3,17.9,7.7,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
2026-03-01,30.4,18.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:01-03:00
